[2024-04-24 12:36:01,006] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,056] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,107] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,157] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,207] INFO [Broker id=0] Leader topicD-0 with topic id Some(pY2Fy7N6RuaNcaO9KjvT7Q) starts at leader epoch 0 from offset 24088260 with partition epoch 0, high watermark 24088260, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,208] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,258] INFO [Broker id=0] Leader topicE-0 with topic id Some(kNFOflFBQealRjf3STrdfw) starts at leader epoch 0 from offset 27440387 with partition epoch 0, high watermark 27440387, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,258] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,308] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 1426 with partition epoch 0, high watermark 1426, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,309] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,358] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,409] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,459] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,509] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,560] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,610] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,660] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 8 with partition epoch 0, high watermark 8, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,661] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,711] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,761] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,812] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,870] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:01,929] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(xpfmkuAaS7OV-nVlI2ad0Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-24 12:36:02,007] INFO [Broker id=0] Finished LeaderAndIsr request in 2394ms correlationId 1 from controller 0 for 52 partitions (state.change.logger)
[2024-04-24 12:36:02,016] INFO [Broker id=0] Add 52 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 71 with correlation id 2 (state.change.logger)
[2024-04-24 12:50:24,668] INFO [Controller id=0 epoch=71] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
